jobapply,jobarea,jobcompany,jobdate,jobedu,jobexp,jobindcat,jobname,jobsalary
0~5人應徵,高雄市前鎮區,河流數位設計有限公司,4/15,高中,經歷不拘,電腦軟體服務業,web 開發工程師,"月薪 40,000~80,000元"
0~5人應徵,台北市大同區,ThunderCore_霹靂幣有限公司,4/19,專科,3年以上,電腦軟體服務業,DevOps Engineer,"月薪 60,000~120,000元"
0~5人應徵,台北市信義區,台灣資信有限公司,4/23,高中,1年以上,電腦軟體服務業,Data Analysis Engineer,待遇面議
0~5人應徵,台北市信義區,台灣資信有限公司,4/23,高中,1年以上,電腦軟體服務業,Hadoop Engineer,待遇面議
0~5人應徵,高雄市前鎮區,鴻海精密工業股份有限公司,3/04,碩士,2年以上,消費性電子產品製造業,高雄軟體園區- 監控系統整合工程師,待遇面議
0~5人應徵,台北市大安區,思偉達創新科技股份有限公司,2/28,專科,經歷不拘,其它軟體及網路相關業,(資深)軟體設計工程師,"月薪 40,000~70,000元"
0~5人應徵,台北市信義區,台灣資信有限公司,4/23,高中以下,3年以上,電腦軟體服務業,Backend Developer 後端程式設計師,"月薪 50,000~100,000元"
0~5人應徵,香港特別行政區,台灣資信有限公司,4/23,高中以下,經歷不拘,電腦軟體服務業,DevOps 工程師(香港),"月薪 70,000~120,000元"
0~5人應徵,台北市南港區,香港商一加科技有限公司台灣分公司,4/24,大學,2年以上,電腦軟體服務業,DevOps Software Engineer,待遇面議
0~5人應徵,新北市新店區,宏達電 HTC Corporation_宏達國際電子股份有限公司,4/17,大學,經歷不拘,消費性電子產品製造業,(RD S/W) DeepQ - Jr. User Experience Software Engineer (新店) - J01537,"月薪 30,000元"
0~5人應徵,台北市大安區,台灣大哥大股份有限公司,4/23,大學,2年以上,電信相關業,I187 數位電子服務應用系統工程師,"月薪 31,000~53,000元"
0~5人應徵,高雄市前鎮區,河流數位設計有限公司,4/15,高中,經歷不拘,電腦軟體服務業,web 開發工程師,"月薪 40,000~80,000元"
0~5人應徵,台北市北投區,華碩電腦股份有限公司,2/11,碩士,經歷不拘,電腦及其週邊設備製造業,2019校園徵才~雲端研發工程師,"月薪 30,000~70,000元"
6~10人應徵,新北市新店區,宏達電 HTC Corporation_宏達國際電子股份有限公司,4/17,碩士,經歷不拘,消費性電子產品製造業,[Intern] DeepQ - User Experience Software Engineer/ 使用者經驗軟體工程師 -J01193,時薪 150元/小時
11~30人應徵,台中市西屯區,皇喬集團_長青資訊有限公司,4/23,大學,經歷不拘,電腦軟體服務業,軟體測試工程師,"月薪 30,000~80,000元"
0~5人應徵,新北市新店區,宏達電 HTC Corporation_宏達國際電子股份有限公司,4/17,大學,2年以上,消費性電子產品製造業,(RD S/W) DeepQ - Sr. User Experience Software Engineer (新店) - J01253,待遇面議
0~5人應徵,台北市內湖區,CatchPlay_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,4/19,大學,經歷不拘,網際網路相關業,(Player team)Full stack engineer 技術團隊全端工程師,待遇面議
0~5人應徵,新竹市,中強光電股份有限公司,4/24,大學,5年以上,光電產業,研發類-雲端後台系統開發工程師(CIRC),待遇面議
0~5人應徵,台北市松山區,保聖那管理顧問股份有限公司,4/23,學歷不拘,經歷不拘,人力仲介代徵,Server engineer(應屆可)-日系遊戲開發公司-TW10024-004-867,待遇面議
0~5人應徵,台北市大安區,創曼有限公司,4/03,大學,1年以上,電腦軟體服務業,[RD]後端工程師,"月薪 40,000~60,000元"
0~5人應徵,台中市西屯區,凡谷興業有限公司,4/17,大學,1年以上,其它軟體及網路相關業,資安程式工程師,"月薪 32,000~55,000元"
0~5人應徵,台北市大安區,創曼有限公司,4/03,大學,1年以上,電腦軟體服務業,[RD]後端工程師,"月薪 40,000~60,000元"
0~5人應徵,台北市內湖區,天火數位股份有限公司,4/08,專科,經歷不拘,電子通訊／電腦週邊零售業,Server遊戲程式設計師,"月薪 40,000~60,000元"
0~5人應徵,台中市西屯區,海克租賃有限公司,3/07,高中,1年以上,運輸工具設備租賃業,Python 後端工程師 Game Server Engineer,待遇面議
0~5人應徵,台北市中山區,賽席爾商極光科技有限公司,4/24,大學,5年以上,電腦軟體服務業,架構師,"月薪 70,000~100,000元"
0~5人應徵,新北市中和區,晶睿通訊股份有限公司,3/28,碩士,3年以上,多媒體相關業,軟體工程師,待遇面議
0~5人應徵,台北市內湖區,愛勝遊戲股份有限公司,4/16,大學,2年以上,網際網路相關業,Openstack Devop Engineer (月薪6W ~ 9W),"月薪 60,000~90,000元"
30人以上應徵,台北市內湖區,英屬開曼群島商盾心科技股份有限公司台灣分公司,4/17,大學,經歷不拘,其它軟體及網路相關業,AI Enginnering Intern (實習/Intern),時薪 200元/小時
0~5人應徵,台北市中山區,三竹資訊股份有限公司,4/24,大學,2年以上,其它軟體及網路相關業,金融服務-後端工程師,待遇面議
0~5人應徵,台南市新市區,台灣恩悌悌數據股份有限公司,4/15,大學,1年以上,工商顧問服務業,Kafka &amp; Hadoop data lake Engineer (台南/台北皆可),待遇面議
0~5人應徵,台北市松山區,曉數碼股份有限公司,4/25,大學,1年以上,電腦軟體服務業,【開發團隊】伺服器遊戲工程師 Game Server Engineer,"月薪 40,000~120,000元"
0~5人應徵,台北市大同區,ThunderCore_霹靂幣有限公司,4/24,大學,5年以上,電腦軟體服務業,Blockchain Back-end Developer 區塊鏈後端工程師,待遇面議
6~10人應徵,台北市中正區,大羚羊區塊鏈金融科技股份有限公司,4/19,學歷不拘,2年以上,電腦軟體服務業,★後端工程師 Back-end Engineer 『年薪14個月．自主管理』★,待遇面議
0~5人應徵,台北市中山區,薩摩亞商毅成科技有限公司,4/22,大學,2年以上,電腦軟體服務業,後端工程師 (Back End Engineer),待遇面議
0~5人應徵,台北市南港區,宇泰華科技股份有限公司,4/23,大學,經歷不拘,電腦軟體服務業,Senior Backend Developement 資深後端工程師,待遇面議
0~5人應徵,台北市信義區,傲勝遊戲股份有限公司,4/23,大學,3年以上,網際網路相關業,TW.S-【區塊鏈工程師】（台北）,"月薪 60,000~100,000元"
0~5人應徵,台北市內湖區,寶碩財務科技股份有限公司,4/24,大學,1年以上,電腦軟體服務業,後端工程師(產品研發部),待遇面議
0~5人應徵,台北市松山區,七元素遊戲有限公司,4/10,高中,3年以上,其它軟體及網路相關業,資深PHP工程師,待遇面議
0~5人應徵,台北市內湖區,CatchPlay_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,4/19,大學,3年以上,網際網路相關業,Senior Backend Engineer,待遇面議
0~5人應徵,馬來西亞,傲勝遊戲股份有限公司,3/20,專科,5年以上,網際網路相關業,KL-【機器人開發工程師】（吉隆坡）,"月薪 110,000~200,000元"
0~5人應徵,台北市北投區,華碩電腦股份有限公司,12/10,大學,5年以上,電腦及其週邊設備製造業,RD20376 資深後端軟體工程師,待遇面議
0~5人應徵,馬來西亞,傲勝遊戲股份有限公司,3/20,專科,5年以上,網際網路相關業,KL-【機器人開發工程師】（吉隆坡）,"月薪 110,000~200,000元"
0~5人應徵,台北市信義區,傲勝遊戲股份有限公司,4/23,大學,3年以上,網際網路相關業,TW.S-【區塊鏈工程師】（台北）,"月薪 60,000~100,000元"
0~5人應徵,台北市內湖區,寶碩財務科技股份有限公司,4/24,大學,1年以上,電腦軟體服務業,後端工程師(產品研發部),待遇面議
0~5人應徵,新竹縣竹北市,雲創通訊股份有限公司,4/24,大學,經歷不拘,其他電信及通訊相關業,Cloud Application Engineer,待遇面議
0~5人應徵,台北市大安區,Trend Micro_趨勢科技股份有限公司,4/15,專科,2年以上,電腦軟體服務業,9480: Sr. DevOps Engineer (Corp RD),待遇面議
0~5人應徵,台中市西屯區,凡谷興業有限公司,4/17,大學,經歷不拘,其它軟體及網路相關業,Internet程式設計師(B組),"月薪 30,000~60,000元"
0~5人應徵,台中市西屯區,凡谷興業有限公司,4/17,專科,經歷不拘,其它軟體及網路相關業,Internet程式設計師(A組),"月薪 30,000~60,000元"
0~5人應徵,台北市內湖區,瑞嘉軟體科技股份有限公司,4/22,大學,1年以上,電腦軟體服務業,Application Backend / 後端應用工程師,待遇面議
0~5人應徵,台北市松山區,立樂高園股份有限公司,4/19,大學,1年以上,人力仲介代徵,英文伺服器遊戲工程師 -日系知名遊戲公司[英語](13367),"月薪 40,000~120,000元"
0~5人應徵,台北市內湖區,藝珂人事顧問股份有限公司,4/25,大學,3年以上,人力仲介代徵,SWP3_656_DevOps Engineer,待遇面議
0~5人應徵,台北市內湖區,泰偉電子股份有限公司,4/22,專科,3年以上,電腦系統整合服務業,DevOps(網路事業部),待遇面議
0~5人應徵,桃園市中壢區,雲中雲有限公司,4/22,大學,經歷不拘,其它軟體及網路相關業,web前端開發工程師,"月薪 70,000~100,000元"
0~5人應徵,台北市大安區,創曼有限公司,4/03,大學,1年以上,電腦軟體服務業,[RD]全端工程師,"月薪 40,000~80,000元"
0~5人應徵,新北市新店區,賽微科技股份有限公司,4/03,大學,經歷不拘,其它軟體及網路相關業,軟體工程師( Software Engineer),待遇面議
0~5人應徵,台北市信義區,英屬開曼群島商盾心科技股份有限公司台灣分公司,2/19,大學,經歷不拘,其它軟體及網路相關業,Software Engineer (Infrastructure),待遇面議
0~5人應徵,台北市中山區,博創行銷有限公司,4/04,專科,1年以上,廣告行銷公關業,程式設計工程師,待遇面議
0~5人應徵,台北市大安區,一傳十文教事業股份有限公司,4/08,學歷不拘,2年以上,其他教育服務業,Backend Developer(後端工程師),待遇面議
0~5人應徵,台北市信義區,國泰金控_國泰金融控股股份有限公司,3/29,大學,3年以上,金融控股業,"區塊鏈JAVA工程師 Blockchain JAVA Engineer(數數發中心, DDT)",待遇面議
0~5人應徵,新竹縣竹北市,凌網科技股份有限公司,4/24,大學,1年以上,電腦系統整合服務業,系統研發工程師-台北/新竹(67),待遇面議
0~5人應徵,台北市信義區,英屬開曼群島商盾心科技股份有限公司台灣分公司,2/19,大學,經歷不拘,其它軟體及網路相關業,Software Engineer (Automation),待遇面議
0~5人應徵,台北市中山區,博創行銷有限公司,4/04,專科,1年以上,廣告行銷公關業,程式設計工程師,待遇面議
0~5人應徵,台北市大安區,雲中雲有限公司,4/22,大學,經歷不拘,其它軟體及網路相關業,web前端開發工程師,"月薪 70,000~100,000元"
0~5人應徵,台北市信義區,希平方科技股份有限公司,4/22,大學,1年以上,數位內容產業,網站後端工程師 Back-End Web Developer,待遇面議
0~5人應徵,台北市信義區,希平方科技股份有限公司,4/25,大學,3年以上,數位內容產業,資深網站後端工程師 Back-End Web Developer,"月薪 23,100~200,000元"
0~5人應徵,台北市信義區,特雷維科技有限公司,4/17,專科,經歷不拘,電腦軟體服務業,Sr Backend Developer (Game),"月薪 70,000~100,000元"
0~5人應徵,台北市信義區,喜登數位股份有限公司,4/19,專科,2年以上,電腦及其週邊設備製造業,後端開發工程師 Back-end Developer,待遇面議
6~10人應徵,台北市南港區,神基科技股份有限公司,1/21,碩士,2年以上,電腦及其週邊設備製造業,Computer Vision / Machine Learning / Deep Learning Developer (南港)-RSBU SWRDC,待遇面議
11~30人應徵,台北市中山區,PIXNET_優像數位媒體科技股份有限公司,4/23,專科,經歷不拘,多媒體相關業,前端工程師(NC-痞客邦研發中心),待遇面議
0~5人應徵,菲律賓,"Blue Coast Global Technology, INC.",3/28,專科,2年以上,電腦系統整合服務業,Linux研發工程師(歡迎到菲律賓展開精采的海外人生),待遇面議
0~5人應徵,台北市信義區,傲勝遊戲股份有限公司,4/23,專科,3年以上,網際網路相關業,TW.S-【PHP後端工程師】（台北）,"月薪 60,000~100,000元"
